,Date,Apple_Price,MSFT_Price,AMZN_Price,GOOGL_Price,FB_Price,ALI_Price,Cisco_Price,Oracle_Price,NFLX_Price,Intel__Price
0,2020-04-28,278.58,169.81,2314.08,1232.59,182.91,201.15,42.49,53.2,403.83,58.75
1,2020-04-27,283.17,174.05,2376.0,1270.86,187.5,203.69,43.06,53.37,421.38,59.47
2,2020-04-24,282.97,174.55,2410.22,1276.6,190.07,204.36,42.52,53.01,424.99,59.26
3,2020-04-23,275.03,171.42,2399.45,1271.17,185.13,205.24,41.62,51.97,426.7,59.04
4,2020-04-22,276.1,173.52,2363.49,1258.41,182.28,209.96,41.76,52.27,421.42,60.1
5,2020-04-21,268.37,167.82,2328.12,1212.16,170.8,207.34,40.55,51.31,433.83,56.36
6,2020-04-20,276.93,175.06,2393.61,1261.15,178.24,212.13,42.54,53.91,437.49,59.18
7,2020-04-17,282.8,178.6,2375.0,1279.0,179.24,209.5,42.48,54.62,422.96,60.36
8,2020-04-16,286.69,177.04,2408.19,1257.43,176.25,212.66,41.5,53.7,439.17,60.79
9,2020-04-15,284.43,171.88,2307.68,1257.3,176.97,208.17,41.52,53.16,426.75,58.87
10,2020-04-14,287.05,173.7,2283.32,1265.23,178.17,204.78,42.78,54.0,413.55,60.66
11,2020-04-13,273.25,165.51,2168.87,1210.41,174.79,199.44,41.22,52.97,396.72,58.7
12,2020-04-09,267.99,165.14,2042.76,1206.57,175.19,196.37,41.2,53.18,370.72,57.14
13,2020-04-08,266.07,165.13,2043.0,1207.0,174.28,195.98,41.74,52.13,371.12,58.98
14,2020-04-07,259.43,163.49,2011.6,1182.56,168.83,198.0,40.64,50.76,372.28,58.4
15,2020-04-06,262.47,165.27,1997.59,1183.19,165.55,196.45,41.43,51.49,379.96,58.43
16,2020-04-03,241.41,153.83,1906.59,1092.7,154.18,187.11,39.06,49.4,361.76,54.13
17,2020-04-02,244.93,155.26,1918.83,1117.03,158.19,188.9,39.8,49.8,370.08,54.35
18,2020-04-01,240.91,152.11,1907.7,1102.1,159.6,187.56,38.33,48.71,364.08,51.88
19,2020-03-31,254.29,157.71,1949.72,1161.95,166.8,194.48,39.31,48.33,375.5,54.12
20,2020-03-30,254.81,160.23,1963.95,1146.31,165.95,191.27,40.32,50.36,370.96,55.49
21,2020-03-27,247.74,149.7,1900.1,1110.26,156.79,188.59,38.82,49.83,357.12,52.37
