,Date,Apple_Volume,MSFT_Volume,AMZN_Volume,GOOGL_Volume,FB_Volume,ALI_Volume,Cisco_Volume,Oracle_Volume,NFLX_Volume,Intel_Volume
0,2020-04-28,27258610,33687238,5161817,3352246,20000732,17160322,15964973,8011462,9983797,26474498
1,2020-04-27,29271893,33194384,5645645,2209333,29197750,17272917,17937887,9123193,6277480,25902236
2,2020-04-24,31627183,34305320,3831797,1872004,28868528,14670810,14641718,9403459,8670362,50220505
3,2020-04-23,31203582,32790804,5066552,1710122,21426604,20403126,16100169,10329953,13952330,35091952
4,2020-04-22,29264342,34651604,4218295,2315792,33369931,13470077,18337406,9668271,21123773,23443745
5,2020-04-21,45247893,56203749,7476679,2482404,24850528,14097590,31661042,14050157,23177550,25248033
6,2020-04-20,32503750,36669595,5770694,1764608,16110664,19270657,23438799,10355660,12655818,26420309
7,2020-04-17,53812478,52765625,7930010,2552824,20974750,13552463,30701461,13608825,12616258,27385636
8,2020-04-16,39281290,50479610,12038201,2894757,23593229,16291801,26177970,14092974,16128666,24433516
9,2020-04-15,32788641,40940833,6866567,2111842,17423003,10738255,18428791,10398060,13561222,22841552
10,2020-04-14,48748672,52874338,8087193,3167862,21011815,16743477,22882368,11674548,11580983,25673992
11,2020-04-13,32755731,41905264,6716709,1935128,19355355,16098090,19591971,12693965,11692922,23251938
12,2020-04-09,40529123,51431775,4655617,2701423,23534287,17806072,27650195,15521222,7711296,40515419
13,2020-04-08,42223821,48318234,3977313,2016713,21664198,13592904,22683517,15708310,6908879,26719500
14,2020-04-07,50721831,62769038,5113983,3080955,31411919,14709057,30366068,14062236,7046438,41410012
15,2020-04-06,50455071,67111697,5773181,3165991,28453581,13234731,31641428,13836845,8183921,32323387
16,2020-04-03,32470017,41243284,3609870,2568694,25983317,9478000,21235157,13359676,4860768,23906062
17,2020-04-02,41483493,49630735,4335985,2820534,20886309,13390908,28180489,16468079,4592477,27809987
18,2020-04-01,44054638,57969926,4121875,2598519,19507559,17924805,26790667,17914778,6672454,29586562
19,2020-03-31,49250501,77927186,5123626,3263971,23676283,19038561,26019845,15801424,9366464,48081861
20,2020-03-30,41994110,63420326,6126087,2936827,22515225,12241539,27120333,20611186,8621964,31628610
21,2020-03-27,51054153,57042291,5387897,3139661,24879869,13339931,31278581,20020720,7948775,31633487
22,2020-03-26,63140169,64694427,6235118,3834422,26579021,15422018,38487226,22417560,7235016,41475406
23,2020-03-25,75900510,75638224,6479073,4516162,35184271,19591796,42873923,25622467,8767171,41106063
24,2020-03-24,71882773,82516727,7147080,3623435,30440369,20761369,48235609,19319997,11638683,50019753
25,2020-03-23,84188208,78975176,7808489,4183629,29830765,22423433,39823397,23056592,13449378,46698478
26,2020-03-20,100423346,84866215,9817850,4143897,32568398,20995211,48582546,26340724,10853846,52344045
27,2020-03-19,67964255,85922661,10399943,3703248,39862312,20883335,58319654,20157318,10615957,44538030
28,2020-03-18,75058406,81593173,9596297,4636840,37553136,21975514,56904267,29536267,12560908,49309879
29,2020-03-17,81013965,81059817,10917129,4159686,34255596,19248148,41572404,25582910,10013913,52085162
30,2020-03-16,80605865,87905868,8917265,4825981,39120419,26586129,44211289,27492459,10559940,53878939
31,2020-03-13,92683032,92727446,8809725,3969973,35028627,23620039,53859600,28334340,9458197,48805059
32,2020-03-12,104618517,93226366,11346214,4716293,43266335,30149818,51855305,24097400,12071591,50661745
33,2020-03-11,64094970,56504304,5646831,2741694,20397204,18832125,63608527,23663475,6058782,38573961
34,2020-03-10,71322520,65354385,7133310,2743566,24517791,18982458,50536518,27067108,7604444,36568951
35,2020-03-09,71686208,70419274,7813232,3462578,29949041,25458475,61535333,25945887,7405458,56196983
36,2020-03-06,56544246,72821057,5273580,3232315,24559550,21674133,48605591,24580865,8147165,36259158
37,2020-03-05,46893219,47817251,4748210,2718982,19333425,13445250,30255898,15841536,8746985,29099163
38,2020-03-04,54794568,49814383,4772919,2379856,23062473,12451613,30022089,14810599,5487340,29223071
39,2020-03-03,79868852,71677019,7534491,2830112,27984104,20777731,49294737,21830473,8364623,49740276
40,2020-03-02,85349339,71030810,6761651,2771463,24948955,21508205,48864271,17328475,6997891,43140304
41,2020-02-28,106721230,97073557,9493797,4010900,32583494,31247888,80193996,24426003,11178572,60727999
42,2020-02-27,80151381,93174906,8143993,3114476,21682626,22622530,51442851,16159581,10967699,42226859
43,2020-02-26,49678431,56387148,5240402,2490178,16555210,19474179,38528925,16413096,8961126,26217740
44,2020-02-25,57668364,68073295,6219094,2578966,21433487,18069729,48024747,12202570,6481243,34495728
45,2020-02-24,55548828,68311066,6546997,2478039,23080057,19294376,35295921,10992450,6936418,26903117
