,song_pop,artist,song
0,20,Fat White Family , Feet
1,19,Lizzo , Tempo (feat Missy Elliott)
2,18,Mark Ronson , Late Night Feelings (feat Lykke Li)
3,17,Normani , Motivation
4,16,AJ Tracey , Ladbroke Grove
5,15,Lana Del Rey , The Greatest
6,14,Stormzy , Vossi Bop
7,13,Dave , Black
8,12,Big Thief , Not
9,11,Rosalía and J Balvin , Con Altura
10,10,Georgia , About Work the Dancefloor
11,9,Clairo , Bags
12,8,Richard Dawson , Jogging
13,7,Vampire Weekend , Harmony Hall
14,6,FKA twigs , Cellophane
15,5,Lizzo , Juice
16,4,Billie Eilish , Bad Guy
17,3,Charli XCX , Gone (feat Christine and the Queens)
18,2,Sharon Van Etten , Seventeen
19,1,Lil Nas X , Old Town Road (remix feat Billy Ray Cyrus)
